ID;positive_prompt;negative_prompt;melody_path
1;A solo piano melody, exhibiting a happy, cheerful and bright mood;A solo piano melody, exhibiting a sad, depressive and dark mood;data/melodies/extraction/01_scale_major.wav
2;A piano solo piece, with cheerful and bright character;A piano solo piece, with depressive and dark character;data/melodies/extraction/02_arpeggio_slow.wav
3;A bright, happy and energetic grand piano concerto intro;A dark, sad and energetic grand piano concerto intro;data/melodies/extraction/03_pulse_rhythm.wav
4;An ambient piano progression, with a cheerful, bright feeling;An ambient piano progression, with a depressive, dark feeling;data/melodies/extraction/01_scale_major.wav
5;A happy, cheerful classical piano sonata;A sad, depressive classical piano sonata;data/melodies/extraction/02_arpeggio_slow.wav
6;A happy, bright romantic piano ballad;A sad, depressive romantic piano ballad;data/melodies/extraction/03_pulse_rhythm.wav
7;A bright, cheerful jazz piano standard;A dark, depressive jazz piano standard;data/melodies/extraction/01_scale_major.wav
8;A cheerful, happy gospel piano melody, with vibrant traces;A depressive, dark gospel piano melody, with vibrant traces;data/melodies/extraction/02_arpeggio_slow.wav
9;A cheerful, happy meditative piano piece;A depressive, dark meditative piano piece;data/melodies/extraction/03_pulse_rhythm.wav
10;A happy, bright Bossa Nova piano rhythm;A sad, depressive Bossa Nova piano rhythm;data/melodies/extraction/01_scale_major.wav
11;A bright, cheerful chamber piano music;A dark, depressive chamber piano music;data/melodies/extraction/02_arpeggio_slow.wav
12;A cheerful, happy experimental piano sound, with vivid tones;A depressive, dark experimental piano sound, with vivid tones;data/melodies/extraction/03_pulse_rhythm.wav
13;A bright, cheerful dance piano track;A dark, depressive dance piano track;data/melodies/extraction/01_scale_major.wav
14;A happy, bright minimalist piano composition;A sad, depressive minimalist piano composition;data/melodies/extraction/02_arpeggio_slow.wav
15;A happy, bright romantic piano serenade;A sad, depressive romantic piano serenade;data/melodies/extraction/03_pulse_rhythm.wav
16;A bright, cheerful dramatic piano underscore, with clear traces;A dark, depressive dramatic piano underscore, with clear traces;data/melodies/extraction/01_scale_major.wav
17;A cheerful, happy symphony piano movement;A depressive, dark symphony piano movement;data/melodies/extraction/02_arpeggio_slow.wav
18;A happy, bright Celtic piano;A sad, depressive Celtic piano;data/melodies/extraction/03_pulse_rhythm.wav