ID;test_prompt
1;A simple solo piano melody playing a C major scale, moderate tempo
2;A grand piano playing a basic chord progression, clean recording
3;A classical piano improvisation, steady rhythm, neutral atmosphere
4;A complex piano solo piece with arpeggios, classical style
5;A solo acoustic guitar strumming simple chords
6;An acoustic guitar melody played fingerstyle, folk genre
7;A classical guitar performance, moderate tempo, clean tone
8;An acoustic guitar improvisation with intricate picking patterns
9;A solo violin playing long sustained notes, steady bow
10;A violin pizzicato performance, rhythmic and clear
11;A classical violin sonata introduction, solo performance
12;A virtuoso violin solo with vibrato, classical style
13;A simple woodwind flute melody, moderate tempo
14;A solo flute playing scales and trills, clean sound
15;A classical flute performance, steady and melodious
16;A fast and articulate flute solo, concert style
17;A string quartet performance featuring violin, viola and cello
18;A jazz trio improvisation with piano, double bass and drums
19;A full orchestral intro, cinematic and dense texture
20;A hybrid cinematic track featuring piano and synthesizer pads